            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2425824.500000000, A.D. 1929-Aug-01 00:00:00.0000,  2.739448309655144E+03,  2.037230144938218E+03, -5.376815765601391E+03,
2425855.500000000, A.D. 1929-Sep-01 00:00:00.0000,  3.256754837584544E+02,  2.784514846413855E+03, -5.718867373118266E+03,
2425885.500000000, A.D. 1929-Oct-01 00:00:00.0000, -2.096177246505814E+03,  2.335434816067030E+03, -5.542275403935675E+03,
2425916.500000000, A.D. 1929-Nov-01 00:00:00.0000, -4.011074706204773E+03,  7.855013657421425E+02, -4.884598119354202E+03,
2425946.500000000, A.D. 1929-Dec-01 00:00:00.0000, -4.799395769664617E+03, -1.363755672102403E+03, -3.958661667138403E+03,
2425977.500000000, A.D. 1930-Jan-01 00:00:00.0000, -4.293495449825571E+03, -3.655276304513643E+03, -2.961398899494170E+03,
2426008.500000000, A.D. 1930-Feb-01 00:00:00.0000, -2.587443776545009E+03, -5.389205547790911E+03, -2.196959205086715E+03,
2426036.500000000, A.D. 1930-Mar-01 00:00:00.0000, -4.041785985308328E+02, -6.070128363931412E+03, -1.885527190952732E+03,
2426067.500000000, A.D. 1930-Apr-01 00:00:00.0000,  2.105651762315958E+03, -5.651061433656808E+03, -2.048601183937338E+03,
2426097.500000000, A.D. 1930-May-01 00:00:00.0000,  3.991401571298183E+03, -4.183223913781730E+03, -2.671026519100877E+03,
2426128.500000000, A.D. 1930-Jun-01 00:00:00.0000,  4.852014537387533E+03, -1.978785414603967E+03, -3.620413608121000E+03,
2426158.500000000, A.D. 1930-Jul-01 00:00:00.0000,  4.409004042835940E+03,  2.489223985305878E+02, -4.589526388605169E+03,
2426189.500000000, A.D. 1930-Aug-01 00:00:00.0000,  2.756580573681179E+03,  2.026145775990690E+03, -5.372246114724799E+03,
2426220.500000000, A.D. 1930-Sep-01 00:00:00.0000,  3.464378133079194E+02,  2.783261309557261E+03, -5.718257497364832E+03,
